num trees;pca;max depth;f1 macro avg
00010;0154;003;0.62;
00010;0154;005;0.75;
00010;0154;007;0.82;
00010;0154;009;0.86;
00010;0154;011;0.88;
00020;0154;003;0.69;
00020;0154;005;0.79;
00020;0154;007;0.84;
00020;0154;009;0.88;
00020;0154;011;0.90;
00030;0154;003;0.71;
00030;0154;005;0.79;
00030;0154;007;0.85;
00030;0154;009;0.89;
00030;0154;011;0.91;
00050;0154;003;0.71;
00050;0154;005;0.80;
00050;0154;007;0.86;
00050;0154;009;0.89;
00050;0154;011;0.92;
00100;0154;003;0.74;
00100;0154;005;0.82;
00100;0154;007;0.87;
00100;0154;009;0.90;
00100;0154;011;0.92;
00200;0154;003;0.73;
00200;0154;005;0.82;
00200;0154;007;0.88;
00200;0154;009;0.90;
00200;0154;011;0.92;
00300;0154;003;0.75;
00300;0154;005;0.83;
00300;0154;007;0.88;
00300;0154;009;0.91;
00300;0154;011;0.93;
00500;0154;003;0.75;
00500;0154;005;0.83;
00500;0154;007;0.88;
00500;0154;009;0.91;
00500;0154;011;0.93;
00700;0154;003;0.75;
00700;0154;005;0.83;
00700;0154;007;0.88;
00700;0154;009;0.91;
00700;0154;011;0.93;
01000;0154;003;0.75;
01000;0154;005;0.83;
01000;0154;007;0.88;
01000;0154;009;0.91;
01000;0154;011;0.93;
