patient;data_format;num_trees;max_depth;f1 macro avg
chb01;pca136;0100;003;0.70
chb01;pca136;0100;005;0.63
chb01;pca136;0100;007;0.95
chb01;pca136;0100;009;0.95
chb01;pca136;0100;011;0.95
chb01;pca136;0200;003;0.85
chb01;pca136;0200;005;0.62
chb01;pca136;0200;007;0.97
chb01;pca136;0200;009;0.97
chb01;pca136;0200;011;0.97
chb01;pca136;0300;003;0.89
chb01;pca136;0300;005;0.97
chb01;pca136;0300;007;0.80
chb01;pca136;0300;009;0.97
chb01;pca136;0300;011;0.70
chb01;pca136;0500;003;0.94
chb01;pca136;0500;005;0.98
chb01;pca136;0500;007;0.72
chb01;pca136;0500;009;0.82
chb01;pca136;0500;011;0.98
chb01;pca136;0700;003;0.55
chb01;pca136;0700;005;0.98
chb01;pca136;0700;007;0.97
chb01;pca136;0700;009;0.98
chb01;pca136;0700;011;0.98
chb01;pca136;1000;003;0.97
chb01;pca136;1000;005;0.97
chb01;pca136;1000;007;0.81
chb01;pca136;1000;009;0.98
chb01;pca136;1000;011;0.97
