patient;data_format;num_trees;max_depth;f1 macro avg
chb09;pca136;0100;003;0.50
chb09;pca136;0100;005;0.60
chb09;pca136;0100;007;0.82
chb09;pca136;0100;009;0.93
chb09;pca136;0100;011;0.98
chb09;pca136;0200;003;0.50
chb09;pca136;0200;005;0.60
chb09;pca136;0200;007;0.82
chb09;pca136;0200;009;0.92
chb09;pca136;0200;011;0.98
chb09;pca136;0300;003;0.50
chb09;pca136;0300;005;0.57
chb09;pca136;0300;007;0.80
chb09;pca136;0300;009;0.93
chb09;pca136;0300;011;0.99
chb09;pca136;0500;003;0.50
chb09;pca136;0500;005;0.58
chb09;pca136;0500;007;0.81
chb09;pca136;0500;009;0.93
chb09;pca136;0500;011;0.99
chb09;pca136;0700;003;0.50
chb09;pca136;0700;005;0.59
chb09;pca136;0700;007;0.81
chb09;pca136;0700;009;0.94
chb09;pca136;0700;011;0.99
chb09;pca136;1000;003;0.50
chb09;pca136;1000;005;0.57
chb09;pca136;1000;007;0.81
chb09;pca136;1000;009;0.93
chb09;pca136;1000;011;0.99
